Waveform,p_for_S,p_for_Se,OSR,DAC_clock_MHz,First_R_meeting_targets,Required_bits,THD_at_target_R_percent,Error_at_target_R_percent,R_for_min_THD,Min_THD_percent,R_for_min_error,Min_error_percent
S,3,4,16,8,NaN,NaN,NaN,NaN,9,2.42512348184828,30,0.514801010053454
Se,3,4,16,8,NaN,NaN,NaN,NaN,110,0.151995973394275,110,0.024627195847031
S,7,8,32,16,NaN,NaN,NaN,NaN,33,1.8969872305346,124,0.153940431528403
Se,7,8,32,16,60,6,0.0782104818430134,0.0278368893273198,90,0.0335989783537569,90,0.0120631956543243
S,15,16,64,32,NaN,NaN,NaN,NaN,14,0.676138219839972,108,0.0432479417457298
Se,15,16,64,32,38,6,0.0905500487460482,0.0360283117009221,54,0.0173790470522451,54,0.00662927265995976
S,31,32,128,64,NaN,NaN,NaN,NaN,25,0.386111844622701,82,0.0182434684386485
Se,31,32,128,64,24,5,0.0507856125540543,0.0195131609913391,106,0.0129108404670376,106,0.00408172487558142
